"needed_journals","Journal","Cites","ImpactFactor","Eigenfactor","dist"
"Acta Ecologica Sinica","",NA,0.252,NA,NA
"Arthropod Structure and Development","",NA,2.075,NA,NA
"Trees - Structure and Function","",NA,2.888,NA,NA
"Philosophical Transactions of the Royal Society B: Biological Sciences","",NA,6.671,NA,NA
"Tree Genetics and Genomes","",NA,2.398,NA,NA
"Geoderma Regional","",NA,4.201,NA,NA
"Aquaculture Reports","",NA,3.385,NA,NA
"Plant Diversity","",NA,3.359,NA,NA
"Frontiers of Biogeography","",NA,0.862,NA,NA
"Journal of Integrated Coastal Zone Management","",NA,0.244,NA,NA
"Communications Biology","",NA,6.548,NA,NA
"Agriculture and Natural Resources","",NA,0.263,NA,NA
"Flora: Morphology, Distribution, Functional Ecology of Plants","",NA,2.22,NA,NA
"Ocean and Coastal Management","",NA,4.33,NA,NA
"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","",NA,2.389,NA,NA
"Annals of Agricultural Sciences","",NA,7.241,NA,NA
"Aquaculture and Fisheries","",NA,3.59,NA,NA
"North American Fungi","",NA,0,NA,NA
"Ecological Management and Restoration","",NA,2.211,NA,NA
"Biomass and Bioenergy","",NA,5.774,NA,NA
"Indian Phytopathology","",NA,0.96,NA,NA
"CCAMLR Science","",NA,0,NA,NA
"Zeitschrift fur Pflanzenernahrung und Bodenkunde","",NA,2.566,NA,NA
"Cogent Food and Agriculture","",NA,2.28,NA,NA
"Northern Journal of Applied Forestry","",NA,0,NA,NA
"Ecologia Austral","",NA,0.95,NA,NA
"Frontiers in Marine Science","",NA,5.247,NA,NA
"Botany","Botany",NA,1.1,0.00102,0
